Stkcd,Stknme,Listdt,Conme,Conme_en,Nnindcd,Nnindnme,PROVINCE,PROVINCECODE,CITY,CITYCODE,OWNERSHIPTYPE,OWNERSHIPTYPECODE,Markettype
688285,高铁电气,10/20/2021,中铁高铁电气装备股份有限公司,China Railway High-speed Electrification Equipment Corporation Limited,C37,铁路、船舶、航空航天和其它运输设备制造业,陕西省,610000,宝鸡市,610300,国营或国有控股,P0301,32
688286,敏芯股份,8/10/2020,苏州敏芯微电子技术股份有限公司,"MEMSensing Microsystm Co., Ltd.",C39,计算机、通信和其他电子设备制造业,江苏省,320000,苏州市,320500,中外合资,P0303,32
688287,ST 观典防务,5/25/2022,观典防务技术股份有限公司,"Skycam Defense Technology Co., Ltd.",M75,科技推广和应用服务业,北京市,110000,北京市,110000,私营企业,P0306,32
688288,鸿泉物联,11/6/2019,杭州鸿泉物联网技术股份有限公司,"Hangzhou Hopechart IoT Technology Co., Ltd.",C39,计算机、通信和其他电子设备制造业,浙江省,330000,杭州市,330100,私营企业,P0306,32
688289,圣湘生物,8/28/2020,圣湘生物科技股份有限公司,Sansure Biotech Inc.,C27,医药制造业,湖南省,430000,长沙市,430100,私营企业,P0306,32
688290,景业智能,4/29/2022,杭州景业智能科技股份有限公司,"Hangzhou Jingye Intelligent Technology Co., Ltd.",C35,专用设备制造业,浙江省,330000,杭州市,330100,私营企业,P0306,32
688291,金橙子,10/26/2022,北京金橙子科技股份有限公司,"Beijing JCZ Technology Co., Ltd.",I65,软件和信息技术服务业,北京市,110000,北京市,110000,私营企业,P0306,32
688292,浩瀚深度,8/18/2022,北京浩瀚深度信息技术股份有限公司,"Beijing Haohan Data Technology Co., Ltd.",I65,软件和信息技术服务业,北京市,110000,北京市,110000,私营企业,P0306,32
688293,奥浦迈,9/2/2022,上海奥浦迈生物科技股份有限公司,"Shanghai OPM Biosciences Co., Ltd.",M73,研究和试验发展,上海市,310000,上海市,310000,私营企业,P0306,32
688295,中复神鹰,4/6/2022,中复神鹰碳纤维股份有限公司,"Zhongfu Shenying Carbon Fiber Co., Ltd.",C28,化学纤维制造业,江苏省,320000,连云港市,320700,国营或国有控股,P0301,32
688296,和达科技,7/27/2021,浙江和达科技股份有限公司,"Zhejiang Heda Technology Co., Ltd.",I65,软件和信息技术服务业,浙江省,330000,嘉兴市,330400,私营企业,P0306,32
688297,中无人机,6/29/2022,中航(成都)无人机系统股份有限公司,"AVIC (Chengdu) UAS Co., Ltd.",C37,铁路、船舶、航空航天和其它运输设备制造业,四川省,510000,成都市,510100,国营或国有控股,P0301,32
688298,东方生物,2/5/2020,浙江东方基因生物制品股份有限公司,"Zhejiang Orient Gene Biotech Co., Ltd.",C27,医药制造业,浙江省,330000,湖州市,330500,中外合资,P0303,32
688299,长阳科技,11/6/2019,宁波长阳科技股份有限公司,"Ningbo Solartron Technology Co., Ltd.",C29,橡胶和塑料制品业,浙江省,330000,宁波市,330200,私营企业,P0306,32
688300,联瑞新材,11/15/2019,江苏联瑞新材料股份有限公司,"Jiangsu NOVORAY New Material Co., Ltd.",C30,非金属矿物制品业,江苏省,320000,连云港市,320700,私营企业,P0306,32
688301,奕瑞科技,9/18/2020,上海奕瑞光电子科技股份有限公司,iRay Technology Company Limited,C35,专用设备制造业,上海市,310000,上海市,310000,中外合资,P0303,32
688302,海创药业,4/12/2022,海创药业股份有限公司,Hinova Pharmaceuticals Inc.,C27,医药制造业,四川省,510000,成都市,510100,中外合资,P0303,32
688303,大全能源,7/22/2021,新疆大全新能源股份有限公司,"Xinjiang Daqo New Energy Co., Ltd.",C38,电气机械及器材制造业,新疆维吾尔自治区,650000,石河子市,659001,中外合资,P0303,32
688305,科德数控,7/9/2021,科德数控股份有限公司,"KEDE Numerical Control Co., Ltd.",C34,通用设备制造业,辽宁省,210000,大连市,210200,私营企业,P0306,32
688306,均普智能,3/22/2022,宁波均普智能制造股份有限公司,"Ningbo PIA Intelligent Manufacturing Co., Ltd.",C35,专用设备制造业,浙江省,330000,宁波市,330200,私营企业,P0306,32
688307,中润光学,2/16/2023,嘉兴中润光学科技股份有限公司,"Jiaxing ZMAX Optech Co., Ltd.",C39,计算机、通信和其他电子设备制造业,浙江省,330000,嘉兴市,330400,私营企业,P0306,32
688308,欧科亿,12/10/2020,株洲欧科亿数控精密刀具股份有限公司,"OKE Precision Cutting Tools Co., Ltd.",C33,金属制品业,湖南省,430000,株洲市,430200,私营企业,P0306,32
