Stkcd,Trdynt,Yclsprc,Ynvaltrd,Ysmvosd,Ndaytrd,Yretwd
21,2019,12.18,1.12948E+11,17896403.64,244,1.143843
21,2020,19.01,2.7744E+11,27957297.49,243,0.564835
21,2021,15.84,95138171366,24710849.87,243,-0.159489
21,2022,10.69,44127430580,16676382.92,242,-0.316015
21,2023,16.21,2.70155E+11,25287878.03,242,0.526542
22,2000,13.2,3021424173,667920,238,0.774718
22,2001,12.22,2919935210,618332,239,-0.067109
22,2002,11.39,1613204219,576334,235,-0.061379
22,2003,18.33,1800664150,927498,240,0.636346
22,2004,23.67,2064937053,1553923.19,241,0.713159
22,2005,13.32,3463839242,1139046.48,241,-0.249673
22,2006,18.31,7249429439,1719968.42,183,0.703063
22,2007,26.66,12948162810,3127453.01,238,0.489595
22,2008,9.5,6429968912,1334500.48,245,-0.627587
22,2009,15.13,11168757643,7032269.75,242,0.644106
22,2010,14.03,9215168986,6521000.96,241,-0.049575
22,2011,9.31,8237803864,4327193.08,242,-0.314287
22,2012,10.17,3320525501,4726912.32,239,0.139714
22,2013,15.78,17829503048,7335606.37,236,0.603678
22,2014,22.32,15765154902,10375838.67,245,0.457883
22,2015,19.3,18596387591,8971933.08,124,-0.123499
22,2016,19.03,17511570051,8846400.93,244,0.011387
22,2017,24.14,44121776392,11221866.45,214,0.291107
22,2018,16.46,6549618566,7651584.08,109,-0.27598
23,2000,16.15,5136309129,745988.24,236,0.788646
23,2001,12.33,1998281531,569537.77,239,-0.234439
23,2002,9.88,2199695544,456369.27,233,-0.198702
23,2003,6.35,1206458645,293314.26,240,-0.357287
23,2004,4.89,970599936,225875.08,239,-0.229921
23,2005,4.09,720476648,188922.1,241,-0.163599
23,2006,4.73,2101958742,286171.29,204,0.514987
23,2007,11.48,9003164183,774112.87,238,1.428979
23,2008,3.81,1996479235,283384.93,243,-0.659983
23,2009,9.8,9439826252,899979.77,222,1.611441
23,2010,8.44,7842418508,833622.29,239,-0.134573
23,2011,5.7,3554635307,602589.16,241,-0.324645
23,2012,6.5,3060699312,687163.07,242,0.146198
23,2013,7.88,2704467906,1093399.17,223,0.217617
23,2014,15.9,2931994091,2206224.22,162,1.025533
23,2015,30.53,23500563942,4236228.01,136,0.923048
23,2016,31.77,23430219244,4408285.74,174,0.042509
23,2017,20.53,9044198013,2848665.61,234,-0.352842
23,2018,12.71,11339868236,1763591.81,243,-0.378428
23,2019,13.02,13222737388,1806606.24,244,0.029399
23,2020,16.3,10977094612,2261726.71,243,0.252587
23,2021,13.59,1689162392,1885697.3,243,-0.166258
23,2022,13.77,7956074917,1910615.33,242,0.013245
23,2023,6.33,3454378904,878327,241,-0.540305
24,2000,14.46,7373544181,1893756.79,229,0.627017
24,2001,11.45,5198228836,1499551.54,237,-0.201339
24,2002,8.89,1843293070,1164280.63,236,-0.216672
24,2003,11.06,2714590627,1883017.65,238,0.2883
24,2004,7.89,4016750580,1611972.07,240,-0.135936
24,2005,11.68,2829120802,2386290.72,230,0.510773
24,2006,28.38,12343751333,6953182.64,222,1.993706
24,2007,59.2,35419722164,18775465.77,230,1.094909
24,2008,13.12,42605309933,8480866.98,238,-0.65585
24,2009,26.63,94847859894,17214547.91,228,1.037125
24,2010,15.95,90359440109,10914038.23,241,-0.397402
24,2011,18,43956723548,12315730.43,242,0.136859
24,2012,29.89,50545395126,20452758.41,242,0.674279
24,2013,20.78,83727514136,14218691.06,207,-0.297734
24,2014,26.39,1.26436E+11,27087391.56,245,0.960272
24,2015,40.5,1.83358E+11,41569863.47,100,0.551915
25,2000,12.9,3795500110,442387.44,236,0.567436
25,2001,11.89,1576013706,407750.9,235,-0.078295
